date,home,away,score,tier,result
2010-10-30,Southend United,Rotherham United,1-0,4,H
2010-11-02,Oxford United,Torquay United,0-2,4,A
2010-11-13,Rotherham United,Oxford United,2-1,4,H
2010-11-20,Colchester United,Hartlepool United,3-2,3,H
2011-01-01,Hereford United,Torquay United,2-2,4,D
2011-01-01,Oxford United,Southend United,0-2,4,A
2011-01-03,Torquay United,Oxford United,3-4,4,A
2011-01-05,Newcastle United,West Ham United,5-0,1,H
2011-01-15,Leeds United,Scunthorpe United,4-0,2,H
2011-01-15,Rotherham United,Southend United,1-2,4,A
2011-01-22,Peterborough United,Hartlepool United,4-0,3,H
2011-01-28,Colchester United,Peterborough United,2-1,3,H
2011-02-01,Southend United,Oxford United,2-1,4,H
2011-02-01,Torquay United,Hereford United,1-3,4,A
2011-02-05,Hartlepool United,Colchester United,1-0,3,H
2011-02-12,Oxford United,Rotherham United,2-1,4,H
2011-02-19,Torquay United,Southend United,1-1,4,D
2011-02-22,Scunthorpe United,Sheffield United,3-2,2,H
2011-02-22,Peterborough United,Colchester United,1-1,3,D
2011-02-26,Oxford United,Hereford United,0-2,4,A
2011-03-01,Torquay United,Rotherham United,1-1,4,D
2011-03-08,Carlisle United,Hartlepool United,1-0,3,H
2011-03-12,Peterborough United,Carlisle United,6-0,3,H
2011-03-18,Southend United,Hereford United,4-0,4,H
2011-03-19,Sheffield United,Leeds United,2-0,2,H
2011-04-02,West Ham United,Manchester United,2-4,1,A
2011-04-16,Carlisle United,Colchester United,4-1,3,H
2011-04-16,Rotherham United,Hereford United,0-0,4,D
2011-04-19,Newcastle United,Manchester United,0-0,1,D
2011-05-07,Rotherham United,Torquay United,3-1,4,H
2011-08-06,Rotherham United,Oxford United,1-0,4,H
2011-08-06,Southend United,Hereford United,1-0,4,H
2011-08-21,West Ham United,Leeds United,2-2,2,D
2011-09-03,Scunthorpe United,Colchester United,1-1,3,D
2011-09-10,Carlisle United,Hartlepool United,1-2,3,A
2011-09-10,Scunthorpe United,Sheffield United,1-1,3,D
2011-09-17,Sheffield United,Colchester United,3-0,3,H
2011-09-17,Torquay United,Rotherham United,3-3,4,D
2011-09-24,West Ham United,Peterborough United,1-0,2,H
2011-09-24,Rotherham United,Southend United,0-4,4,A
2011-10-01,Hereford United,Oxford United,0-1,4,A
2011-10-22,Peterborough United,Leeds United,2-3,2,A
2011-10-22,Southend United,Torquay United,4-1,4,H
2011-10-29,Torquay United,Hereford United,2-0,4,H
2011-11-05,Southend United,Oxford United,2-1,4,H
2011-11-19,Scunthorpe United,Hartlepool United,0-2,3,A
2011-11-19,Sheffield United,Carlisle United,1-0,3,H
2011-11-26,Manchester United,Newcastle United,1-1,1,D
2011-11-26,Carlisle United,Colchester United,1-0,3,H
2011-12-10,Scunthorpe United,Carlisle United,1-2,3,A
2011-12-10,Hereford United,Rotherham United,2-3,4,A
2011-12-17,Hartlepool United,Colchester United,0-1,3,A
2011-12-31,Sheffield United,Hartlepool United,3-1,3,H
2011-12-31,Torquay United,Oxford United,0-0,4,D
2012-01-02,Carlisle United,Sheffield United,3-2,3,H
2012-01-02,Hartlepool United,Scunthorpe United,1-2,3,A
2012-01-04,Newcastle United,Manchester United,3-0,1,H
2012-01-14,Colchester United,Scunthorpe United,1-1,3,D
2012-01-21,Oxford United,Hereford United,2-2,4,D
2012-01-28,Hartlepool United,Carlisle United,4-0,3,H
2012-02-10,Southend United,Rotherham United,0-2,4,A
2012-02-29,Sheffield United,Scunthorpe United,2-1,3,H
2012-03-13,Colchester United,Sheffield United,1-1,3,D
2012-03-13,Rotherham United,Torquay United,0-1,4,A
2012-03-17,Leeds United,West Ham United,1-1,2,D
2012-03-17,Hereford United,Southend United,2-3,4,A
2012-03-17,Oxford United,Rotherham United,2-1,4,H
2012-03-24,Colchester United,Carlisle United,1-1,3,D
2012-03-27,Peterborough United,West Ham United,0-2,2,A
2012-03-31,Hartlepool United,Sheffield United,0-1,3,A
2012-03-31,Rotherham United,Hereford United,1-0,4,H
2012-04-06,Colchester United,Hartlepool United,1-1,3,D
2012-04-09,Carlisle United,Scunthorpe United,0-0,3,D
2012-04-09,Oxford United,Torquay United,2-2,4,D
2012-04-14,Leeds United,Peterborough United,4-1,2,H
2012-04-14,Torquay United,Southend United,0-0,4,D
2012-04-28,Oxford United,Southend United,0-2,4,A
2012-05-05,Hereford United,Torquay United,3-2,4,H
2012-08-21,Oxford United,Southend United,2-0,4,H
2012-08-25,Peterborough United,Leeds United,1-2,2,A
2012-08-25,Colchester United,Sheffield United,1-1,3,D
2012-09-01,Hartlepool United,Scunthorpe United,2-0,3,H
2012-09-08,Hartlepool United,Carlisle United,1-2,3,A
2012-09-08,Scunthorpe United,Sheffield United,1-1,3,D
2012-09-15,Rotherham United,Torquay United,1-0,4,H
2012-09-22,Scunthorpe United,Colchester United,1-0,3,H
2012-09-29,Colchester United,Hartlepool United,3-1,3,H
2012-09-29,Rotherham United,Oxford United,3-1,4,H
2012-10-02,Hartlepool United,Sheffield United,1-2,3,A
2012-10-07,Newcastle United,Manchester United,0-3,1,A
2012-10-13,Rotherham United,Southend United,0-3,4,A
2012-10-20,Colchester United,Carlisle United,2-0,3,H
2012-11-10,Oxford United,Torquay United,0-0,4,D
2012-11-11,Newcastle United,West Ham United,0-1,1,A
2012-11-17,Torquay United,Southend United,1-4,4,A
2012-11-28,Manchester United,West Ham United,1-0,1,H
2012-12-08,Carlisle United,Sheffield United,1-3,3,A
2012-12-26,Manchester United,Newcastle United,4-3,1,H
2012-12-26,Carlisle United,Hartlepool United,3-0,3,H
2012-12-26,Sheffield United,Scunthorpe United,3-0,3,H
2012-12-29,Sheffield United,Hartlepool United,2-3,3,A
2013-01-12,Colchester United,Scunthorpe United,1-2,3,A
2013-01-26,Carlisle United,Scunthorpe United,1-1,3,D
2013-02-02,Southend United,Oxford United,1-0,4,H
2013-02-12,Scunthorpe United,Carlisle United,3-1,3,H
2013-02-12,Torquay United,Rotherham United,1-3,4,A
2013-02-16,Sheffield United,Colchester United,3-0,3,H
2013-02-23,Scunthorpe United,Hartlepool United,1-2,3,A
2013-03-02,Southend United,Rotherham United,1-1,4,D
2013-03-05,Hartlepool United,Colchester United,0-0,3,D
2013-03-05,Oxford United,Rotherham United,0-4,4,A
2013-03-09,Torquay United,Oxford United,1-3,4,A
2013-03-12,Leeds United,Peterborough United,1-1,2,D
2013-03-16,Southend United,Torquay United,1-1,4,D
2013-04-01,Sheffield United,Carlisle United,0-0,3,D
2013-04-17,West Ham United,Manchester United,2-2,1,D
2013-04-27,Carlisle United,Colchester United,0-2,3,A
2013-05-04,West Ham United,Newcastle United,0-0,1,D
2013-08-10,Hartlepool United,Southend United,0-1,4,A
2013-08-17,Sheffield United,Colchester United,1-1,3,D
2013-08-17,Torquay United,Oxford United,1-3,4,A
2013-08-23,Colchester United,Carlisle United,1-1,3,D
2013-08-24,Newcastle United,West Ham United,0-0,1,D
2013-08-31,Torquay United,Hartlepool United,0-0,4,D
2013-09-07,Rotherham United,Sheffield United,3-1,3,H
2013-09-13,Southend United,Scunthorpe United,0-1,4,A
2013-09-14,Carlisle United,Sheffield United,1-0,3,H
2013-09-28,Rotherham United,Peterborough United,0-1,3,A
2013-09-28,Hartlepool United,Oxford United,1-3,4,A
2013-10-05,Oxford United,Southend United,0-2,4,A
2013-10-22,Peterborough United,Sheffield United,0-0,3,D
2013-10-26,Colchester United,Peterborough United,1-0,3,H
2013-10-26,Scunthorpe United,Hartlepool United,1-0,4,H
2013-11-02,Rotherham United,Colchester United,2-2,3,D
2013-11-23,Rotherham United,Carlisle United,0-0,3,D
2013-11-30,Scunthorpe United,Torquay United,3-1,4,H
2013-12-07,Manchester United,Newcastle United,0-1,1,A
2013-12-14,Torquay United,Southend United,1-0,4,H
2013-12-21,Manchester United,West Ham United,3-1,1,H
2013-12-29,Carlisle United,Peterborough United,2-1,3,H
2013-12-29,Oxford United,Scunthorpe United,0-2,4,A
2014-01-18,West Ham United,Newcastle United,1-3,1,A
2014-01-18,Carlisle United,Colchester United,2-4,3,A
2014-01-25,Oxford United,Torquay United,1-0,4,H
2014-02-01,Hartlepool United,Scunthorpe United,0-0,4,D
2014-02-18,Southend United,Hartlepool United,1-1,4,D
2014-02-22,Carlisle United,Rotherham United,1-2,3,A
2014-02-25,Colchester United,Sheffield United,0-1,3,A
2014-03-01,Hartlepool United,Torquay United,3-0,4,H
2014-03-04,Colchester United,Rotherham United,0-0,3,D
2014-03-04,Sheffield United,Peterborough United,2-0,3,H
2014-03-11,Scunthorpe United,Southend United,2-2,4,D
2014-03-12,Sheffield United,Carlisle United,1-0,3,H
2014-03-21,Oxford United,Hartlepool United,1-0,4,H
2014-03-22,West Ham United,Manchester United,0-2,1,A
2014-03-22,Peterborough United,Rotherham United,0-1,3,A
2014-03-24,Southend United,Oxford United,3-0,4,H
2014-03-29,Southend United,Torquay United,1-0,4,H
2014-04-02,Peterborough United,Colchester United,2-0,3,H
2014-04-05,Newcastle United,Manchester United,0-4,1,A
2014-04-05,Torquay United,Scunthorpe United,0-1,4,A
2014-04-08,Sheffield United,Rotherham United,1-0,3,H
2014-04-21,Peterborough United,Carlisle United,4-1,3,H
2014-04-21,Scunthorpe United,Oxford United,1-0,4,H
2014-08-19,Peterborough United,Sheffield United,1-2,3,A
2014-08-23,Carlisle United,Southend United,1-1,4,D
2014-08-30,Colchester United,Peterborough United,1-3,3,A
2014-08-30,Cambridge United,Carlisle United,5-0,4,H
2014-09-06,Southend United,Oxford United,1-1,4,D
2014-09-16,Colchester United,Sheffield United,2-3,3,A
2014-09-27,Manchester United,West Ham United,2-1,1,H
2014-10-04,Hartlepool United,Carlisle United,0-3,4,A
2014-10-11,Cambridge United,Oxford United,5-1,4,H
2014-10-17,Rotherham United,Leeds United,2-1,2,H
2014-10-18,Scunthorpe United,Colchester United,1-1,3,D
2014-10-25,Cambridge United,Hartlepool United,2-1,4,H
2014-10-25,Carlisle United,Oxford United,2-1,4,H
2014-11-01,Peterborough United,Scunthorpe United,1-2,3,A
2014-11-15,Southend United,Hartlepool United,1-0,4,H
2014-11-29,West Ham United,Newcastle United,1-0,1,H
2014-12-20,Hartlepool United,Oxford United,1-1,4,D
2014-12-26,Manchester United,Newcastle United,3-1,1,H
2014-12-26,Cambridge United,Southend United,0-1,4,A
2015-01-10,Peterborough United,Colchester United,0-2,3,A
2015-01-10,Carlisle United,Cambridge United,0-1,4,A
2015-01-17,Oxford United,Southend United,2-3,4,A
2015-02-08,West Ham United,Manchester United,1-1,1,D
2015-02-10,Sheffield United,Colchester United,4-1,3,H
2015-02-28,Southend United,Carlisle United,2-0,4,H
2015-03-03,Sheffield United,Peterborough United,1-2,3,A
2015-03-04,Newcastle United,Manchester United,0-1,1,A
2015-03-14,Scunthorpe United,Sheffield United,1-1,3,D
2015-03-17,Oxford United,Hartlepool United,0-2,4,A
2015-03-21,Southend United,Cambridge United,0-0,4,D
2015-03-24,Sheffield United,Scunthorpe United,4-0,3,H
2015-03-28,Hartlepool United,Cambridge United,2-1,4,H
2015-03-28,Oxford United,Carlisle United,2-1,4,H
2015-04-03,Scunthorpe United,Peterborough United,2-0,3,H
2015-04-06,Hartlepool United,Southend United,0-1,4,A
2015-04-18,Colchester United,Scunthorpe United,2-2,3,D
2015-04-25,Oxford United,Cambridge United,2-0,4,H
2015-05-02,Leeds United,Rotherham United,0-0,2,D
2015-05-02,Carlisle United,Hartlepool United,3-3,4,D
2015-05-24,Newcastle United,West Ham United,2-0,1,H
2015-08-15,Peterborough United,Colchester United,2-1,3,H
2015-08-15,Carlisle United,Cambridge United,4-4,4,D
2015-08-18,Peterborough United,Sheffield United,1-3,3,A
2015-08-22,Manchester United,Newcastle United,0-0,1,D
2015-08-29,Colchester United,Scunthorpe United,2-2,3,D
2015-08-29,Hartlepool United,Carlisle United,2-3,4,A
2015-09-05,Southend United,Peterborough United,2-1,3,H
2015-09-14,West Ham United,Newcastle United,2-0,1,H
2015-09-15,Sheffield United,Colchester United,2-3,3,A
2015-09-19,Hartlepool United,Cambridge United,0-0,4,D
2015-09-26,Southend United,Scunthorpe United,2-1,3,H
2015-11-14,Sheffield United,Southend United,2-2,3,D
2015-11-14,Oxford United,Cambridge United,1-0,4,H
2015-11-21,Leeds United,Rotherham United,0-1,2,A
2015-11-28,Scunthorpe United,Peterborough United,0-4,3,A
2015-11-28,Hartlepool United,Oxford United,0-1,4,A
2015-12-05,Manchester United,West Ham United,0-0,1,D
2015-12-12,Oxford United,Carlisle United,1-1,4,D
2015-12-19,Scunthorpe United,Sheffield United,0-1,3,A
2015-12-26,Colchester United,Southend United,0-2,3,A
2016-01-02,Sheffield United,Peterborough United,2-3,3,A
2016-01-12,Newcastle United,Manchester United,3-3,1,D
2016-01-16,Newcastle United,West Ham United,2-1,1,H
2016-01-16,Colchester United,Sheffield United,1-2,3,A
2016-01-16,Peterborough United,Southend United,0-0,3,D
2016-01-23,Scunthorpe United,Colchester United,3-0,3,H
2016-01-23,Cambridge United,Hartlepool United,1-1,4,D
2016-02-06,Southend United,Colchester United,3-0,3,H
2016-02-13,Scunthorpe United,Southend United,1-0,3,H
2016-03-28,Cambridge United,Oxford United,0-0,4,D
2016-03-30,Southend United,Sheffield United,3-1,3,H
2016-04-02,Rotherham United,Leeds United,2-1,2,H
2016-04-05,Carlisle United,Hartlepool United,1-0,4,H
2016-04-16,Colchester United,Peterborough United,1-4,3,A
2016-04-16,Cambridge United,Carlisle United,0-0,4,D
2016-04-23,Peterborough United,Scunthorpe United,0-2,3,A
2016-04-23,Oxford United,Hartlepool United,2-0,4,H
2016-04-30,Carlisle United,Oxford United,0-2,4,A
2016-05-08,Sheffield United,Scunthorpe United,0-2,3,A
2016-05-10,West Ham United,Manchester United,3-2,1,H
2016-08-06,Hartlepool United,Colchester United,1-1,4,D
2016-08-13,Colchester United,Cambridge United,2-0,4,H
2016-08-16,Sheffield United,Southend United,0-3,3,A
2016-08-20,Oxford United,Peterborough United,2-1,3,H
2016-08-20,Cambridge United,Carlisle United,2-2,4,D
2016-08-27,Sheffield United,Oxford United,2-1,3,H
2016-09-10,Scunthorpe United,Southend United,4-0,3,H
2016-09-17,Sheffield United,Peterborough United,1-0,3,H
2016-09-24,Scunthorpe United,Sheffield United,2-2,3,D
2016-09-27,Southend United,Oxford United,2-1,3,H
2016-10-01,Rotherham United,Newcastle United,0-1,2,A
2016-10-01,Southend United,Peterborough United,1-1,3,D
2016-10-01,Carlisle United,Colchester United,2-0,4,H
2016-10-15,Carlisle United,Hartlepool United,3-2,4,H
2016-11-20,Leeds United,Newcastle United,0-2,2,A
2016-11-22,Peterborough United,Scunthorpe United,0-2,3,A
2016-11-26,Rotherham United,Leeds United,1-2,2,A
2016-11-26,Scunthorpe United,Oxford United,1-1,3,D
2016-11-27,Manchester United,West Ham United,1-1,1,D
2016-12-10,Hartlepool United,Cambridge United,0-5,4,A
2017-01-02,West Ham United,Manchester United,0-2,1,A
2017-01-02,Leeds United,Rotherham United,3-0,2,H
2017-01-02,Scunthorpe United,Peterborough United,1-1,3,D
2017-01-07,Southend United,Sheffield United,2-4,3,A
2017-01-07,Colchester United,Carlisle United,4-1,4,H
2017-01-21,Newcastle United,Rotherham United,4-0,2,H
2017-02-04,Southend United,Scunthorpe United,3-1,3,H
2017-02-11,Peterborough United,Sheffield United,0-1,3,A
2017-02-14,Oxford United,Southend United,0-2,3,A
2017-02-18,Sheffield United,Scunthorpe United,1-1,3,D
2017-02-21,Peterborough United,Southend United,1-4,3,A
2017-02-25,Colchester United,Hartlepool United,2-1,4,H
2017-03-04,Cambridge United,Colchester United,1-1,4,D
2017-03-07,Oxford United,Sheffield United,2-3,3,A
2017-03-11,Peterborough United,Oxford United,1-2,3,A
2017-03-11,Carlisle United,Cambridge United,0-3,4,A
2017-03-14,Cambridge United,Hartlepool United,0-1,4,A
2017-03-18,Oxford United,Scunthorpe United,2-1,3,H
2017-04-14,Newcastle United,Leeds United,1-1,2,D
2017-04-14,Hartlepool United,Carlisle United,1-1,4,D
2017-08-12,Rotherham United,Southend United,5-0,3,H
2017-08-12,Cambridge United,Carlisle United,1-2,4,A
2017-08-13,Manchester United,West Ham United,4-0,1,H
2017-08-19,Peterborough United,Rotherham United,2-1,3,H
2017-08-19,Scunthorpe United,Oxford United,1-0,3,H
2017-08-26,Newcastle United,West Ham United,3-0,1,H
2017-09-02,Cambridge United,Colchester United,1-0,4,H
2017-09-30,Peterborough United,Oxford United,1-4,3,A
2017-10-14,Rotherham United,Scunthorpe United,2-0,3,H
2017-10-14,Colchester United,Carlisle United,0-1,4,A
2017-10-17,Southend United,Peterborough United,1-1,3,D
2017-10-21,Oxford United,Rotherham United,3-3,3,D
2017-10-21,Scunthorpe United,Peterborough United,2-1,3,H
2017-10-27,Leeds United,Sheffield United,1-2,2,A
2017-11-18,Manchester United,Newcastle United,4-1,1,H
2017-11-25,Southend United,Oxford United,1-1,3,D
2017-12-23,Scunthorpe United,Southend United,3-1,3,H
2017-12-23,West Ham United,Newcastle United,2-3,1,A
2018-01-01,Colchester United,Cambridge United,0-0,4,D
2018-01-27,Southend United,Scunthorpe United,3-2,3,H
2018-02-03,Peterborough United,Southend United,0-1,3,A
2018-02-10,Sheffield United,Leeds United,2-1,2,H
2018-02-10,Scunthorpe United,Rotherham United,1-2,3,A
2018-02-10,Carlisle United,Colchester United,1-1,4,D
2018-02-11,Newcastle United,Manchester United,1-0,1,H
2018-02-13,Peterborough United,Scunthorpe United,2-2,3,D
2018-02-13,Rotherham United,Oxford United,3-1,3,H
2018-03-17,Oxford United,Peterborough United,2-1,3,H
2018-03-24,Southend United,Rotherham United,2-0,3,H
2018-03-24,Carlisle United,Cambridge United,1-1,4,D
2018-03-30,Oxford United,Scunthorpe United,1-1,3,D
2018-03-30,Rotherham United,Peterborough United,1-1,3,D
2018-04-14,Oxford United,Southend United,2-0,3,H
2018-05-10,West Ham United,Manchester United,0-0,1,D
2018-08-18,Leeds United,Rotherham United,2-0,2,H
2018-09-08,Southend United,Peterborough United,2-3,3,A
2018-09-08,Cambridge United,Carlisle United,1-2,4,A
2018-09-15,Colchester United,Cambridge United,3-0,4,H
2018-09-29,West Ham United,Manchester United,3-1,1,H
2018-10-06,Manchester United,Newcastle United,3-2,1,H
2018-10-06,Southend United,Oxford United,0-0,3,D
2018-10-13,Scunthorpe United,Peterborough United,0-2,3,A
2018-11-03,Scunthorpe United,Oxford United,3-3,3,D
2018-11-24,Rotherham United,Sheffield United,2-2,2,D
2018-11-27,Southend United,Scunthorpe United,2-0,3,H
2018-12-01,Newcastle United,West Ham United,0-3,1,A
2018-12-01,Sheffield United,Leeds United,0-1,2,A
2018-12-08,Peterborough United,Oxford United,2-2,3,D
2018-12-15,Carlisle United,Colchester United,4-0,4,H
2018-12-26,Oxford United,Southend United,0-1,3,A
2019-01-01,Peterborough United,Scunthorpe United,0-2,3,A
2019-01-02,Newcastle United,Manchester United,0-2,1,A
2019-01-26,Rotherham United,Leeds United,1-2,2,A
2019-02-16,Oxford United,Peterborough United,0-1,3,A
2019-02-23,Colchester United,Carlisle United,1-1,4,D
2019-03-02,West Ham United,Newcastle United,2-0,1,H
2019-03-02,Oxford United,Scunthorpe United,2-1,3,H
2019-03-09,Sheffield United,Rotherham United,2-0,2,H
2019-03-12,Scunthorpe United,Southend United,4-1,3,H
2019-03-16,Leeds United,Sheffield United,0-1,2,A
2019-03-23,Peterborough United,Southend United,2-0,3,H
2019-03-23,Carlisle United,Cambridge United,2-2,4,D
2019-03-30,Cambridge United,Colchester United,0-1,4,A
2019-04-13,Manchester United,West Ham United,2-1,1,H
2019-08-10,Oxford United,Peterborough United,1-0,3,H
2019-08-17,Colchester United,Cambridge United,1-2,4,A
2019-08-20,Cambridge United,Scunthorpe United,3-2,4,H
2019-08-20,Southend United,Peterborough United,0-2,3,A
2019-08-31,Scunthorpe United,Carlisle United,0-1,4,A
2019-09-22,West Ham United,Manchester United,2-0,1,H
2019-10-06,Newcastle United,Manchester United,1-0,1,H
2019-10-19,Rotherham United,Oxford United,1-2,3,A
2019-10-26,West Ham United,Sheffield United,1-1,1,D
2019-11-02,West Ham United,Newcastle United,2-3,1,A
2019-11-23,Carlisle United,Cambridge United,0-0,4,D
2019-11-23,Southend United,Oxford United,0-4,3,A
2019-11-24,Sheffield United,Manchester United,3-3,1,D
2019-12-05,Sheffield United,Newcastle United,0-2,1,A
2019-12-14,Southend United,Rotherham United,2-2,3,D
2019-12-14,Scunthorpe United,Colchester United,2-2,4,D
2019-12-21,Colchester United,Carlisle United,3-0,4,H
2019-12-26,Manchester United,Newcastle United,4-1,1,H
2019-12-29,Rotherham United,Peterborough United,4-0,3,H
